tmc,tstamp,speed
129P04122,2020-03-10 07:00:00,57.22,91.80
129P04122,2020-03-10 07:10:00,53.34,100.00
129P04122,2020-03-10 07:20:00,52.89,100.00
129P04122,2020-03-10 07:30:00,54.86,100.00
129P04122,2020-03-10 07:40:00,49.56,100.00
129P04122,2020-03-10 07:50:00,52.63,100.00
129P04122,2020-03-10 08:00:00,50.26,100.00
129P04122,2020-03-10 08:10:00,48.80,100.00
129P04122,2020-03-10 08:20:00,49.66,100.00
129P04122,2020-03-10 08:30:00,47.00,100.00
129P04122,2020-03-10 08:40:00,50.60,94.90
129P04122,2020-03-10 08:50:00,50.18,79.10
129P04122,2020-03-10 09:00:00,45.33,98.50
129P04122,2020-03-10 09:10:00,47.76,100.00
129P04122,2020-03-10 09:20:00,56.57,96.10
129P04122,2020-03-10 09:30:00,50.39,100.00
129P04122,2020-03-10 09:40:00,53.06,100.00
129P04122,2020-03-10 09:50:00,48.78,100.00
129P04122,2020-03-10 10:00:00,46.80,100.00
129P04122,2020-03-10 10:10:00,50.87,100.00
129P04122,2020-03-10 10:20:00,49.57,99.70
129P04122,2020-03-10 10:30:00,51.50,99.00
129P04122,2020-03-10 10:40:00,51.27,99.90
129P04122,2020-03-10 10:50:00,50.34,98.00
129P04122,2020-03-10 11:00:00,52.97,99.10
129P04122,2020-03-10 11:10:00,55.16,97.90
129P04122,2020-03-10 11:20:00,51.05,100.00
129P04122,2020-03-10 11:30:00,50.12,99.40
129P04122,2020-03-10 11:40:00,50.79,100.00
129P04122,2020-03-10 11:50:00,48.78,100.00
129P04122,2020-03-10 12:00:00,50.69,98.80
129P04122,2020-03-10 12:10:00,53.69,90.30
129P04122,2020-03-10 12:20:00,48.76,100.00
129P04122,2020-03-10 12:30:00,51.59,99.90
129P04122,2020-03-10 12:40:00,52.25,100.00
129P04122,2020-03-10 12:50:00,54.00,100.00
129P04122,2020-03-10 13:00:00,53.50,100.00
129P04122,2020-03-10 13:10:00,51.57,100.00
129P04122,2020-03-10 13:20:00,46.40,100.00
129P04122,2020-03-10 13:30:00,43.99,100.00
129P04122,2020-03-10 13:40:00,46.41,100.00
129P04122,2020-03-10 13:50:00,47.80,100.00
129P04122,2020-03-10 14:00:00,48.54,100.00
129P04122,2020-03-10 14:10:00,46.29,100.00
129P04122,2020-03-10 14:20:00,42.27,100.00
129P04122,2020-03-10 14:30:00,49.96,100.00
129P04122,2020-03-10 14:40:00,45.66,100.00
129P04122,2020-03-10 14:50:00,41.83,100.00
129P04122,2020-03-10 15:00:00,48.38,100.00
129P04122,2020-03-10 15:10:00,51.28,100.00
129P04122,2020-03-10 15:20:00,43.01,100.00
129P04122,2020-03-10 15:30:00,40.00,100.00
129P04122,2020-03-10 15:40:00,41.53,100.00
129P04122,2020-03-10 15:50:00,52.34,98.30
129P04122,2020-03-10 16:00:00,52.86,97.40
129P04122,2020-03-10 16:10:00,54.30,100.00
129P04122,2020-03-10 16:20:00,50.08,100.00
129P04122,2020-03-10 16:30:00,46.14,98.60
129P04122,2020-03-10 16:40:00,41.52,91.40
129P04122,2020-03-10 16:50:00,44.49,100.00
129P04122,2020-03-10 17:00:00,47.05,100.00
129P04122,2020-03-10 17:10:00,48.87,100.00
129P04122,2020-03-10 17:20:00,46.64,100.00
129P04122,2020-03-10 17:30:00,32.29,100.00
129P04122,2020-03-10 17:40:00,17.79,100.00
129P04122,2020-03-10 17:50:00,23.85,100.00
129P04122,2020-03-10 18:00:00,49.91,100.00
129P04122,2020-03-10 18:10:00,52.91,100.00
