tmc,seq_num,from_meas,to_meas,distance,route_id,seg_begin,seg_end,lanes,spd_limit,shape_Length,firstnm
129P04348,106,18.96241759,19.92087518,0.945884805,I95 NB,US-1/Exit 9,US-1/Exit 9,3,65,1521.424246,US-1 (Sharon)/Exit 9
129+04348,107,16.83923841,18.96241759,2.097239837,I95 NB,Main St/Mechanic St/Exit 8,US-1/Exit 9,3,65,3371.646835,US-1 (Sharon)/Exit 9
129P04347,108,16.57104496,16.83923841,0.264002754,I95 NB,Main St/Mechanic St/Exit 8,Main St/Mechanic St/Exit 8,4,65,426.0610765,Main St/Mechanic St/Exit 8
129+04347,109,13.37935217,16.57104496,3.150604048,I95 NB,MA-140/Commercial St/Exit 7,Main St/Mechanic St/Exit 8,3,65,5069.339739,Main St/Mechanic St/Exit 8
129P04346,110,12.82131408,13.37935217,0.551305977,I95 NB,MA-140/Commercial St/Exit 7,MA-140/Commercial St/Exit 7,3,65,886.2546192,RT-140/Commercial St/Exit 7
129+04346,111,12.02489773,12.82131408,0.785245295,I95 NB,I-495/Exit 6,MA-140/Commercial St/Exit 7,3,65,1265.094215,RT-140/Commercial St/Exit 7
129P04345,112,11.47800104,12.02489773,0.539586946,I95 NB,I-495/Exit 6,I-495/Exit 6,3,65,868.6503029,I-495/Exit 6
129+04345,113,7.249182031,11.47800104,4.172822658,I95 NB,Robert Toner Blvd/Exit 5,I-495/Exit 6,3,65,6715.546144,I-495/Exit 6
129P04344,114,7.060211323,7.249182031,0.186036198,I95 NB,Robert Toner Blvd/Exit 5,Robert Toner Blvd/Exit 5,3,65,300.1418225,Robert Toner Blvd/Exit 5
129+04344,115,6.059015957,7.060211323,0.98920488,I95 NB,I-295/Exit 4,Robert Toner Blvd/Exit 5,3,65,1590.817414,Robert Toner Blvd/Exit 5
129P04343,116,5.907696619,6.059015957,0.149078033,I95 NB,I-295/Exit 4,I-295/Exit 4,3,65,240.3728533,I-295/Exit 4
129+04343,117,4.468920766,5.907696619,1.419232252,I95 NB,MA-123/South Ave/Exit 3,I-295/Exit 4,3,65,2285.101179,I-295/Exit 4
129P04342,118,3.922928646,4.468920766,0.539852417,I95 NB,MA-123/South Ave/Exit 3,MA-123/South Ave/Exit 3,3,65,867.0740621,RT-123/South Ave/Exit 3
129+04342,119,1.494466379,3.922928646,2.394634419,I95 NB,US-1 A/Newport Ave/Exit 2,MA-123/South Ave/Exit 3,3,65,3857.883077,RT-123/South Ave/Exit 3
129P04341,120,0.976250379,1.494466379,0.509985333,I95 NB,US-1 A/Newport Ave/Exit 2,US-1 A/Newport Ave/Exit 2,3,65,823.0136794,RT-1A/Newport Ave/Exit 2
129+04341,121,0.618385511,0.976250379,0.354316111,I95 NB,US-1/Exit 1,US-1A/Newport Ave/Exit 2,3,65,568.3548817,RT-1A/Newport Ave/Exit 2
129P04340,122,0.454385499,0.618385511,0.160608993,I95 NB,US-1/Exit 1,US-1/Exit 1,3,65,260.455394,US-1 (Attleboro)/Exit 1
129+04340,123,0.116768722,0.454385499,0.332667733,I95 NB,North of Rhode Island State Line,US-1/Exit 1,3,65,535.503362,US-1 (Attleboro)/Exit 1
129P04339,124,0,0.116768722,0.11857856,I95 NB,Rhode Island State Line,North of Rhode Island State Line,3,65,189.0069622,Mass/Rhode Island State Line
